,Anwoxhner,Besuxcher,tXK}x3Eg,Ld)s@xYEM,VersagerGolxdesel,VollzxeitToleranz,Coxmputer,Diagnxose,aVrx\un?R,Mf(xd_?zb,VorstaxndTablette,StelluxngZwilling,Duftnxote,Ehebruxch,zpPe&xf8*,fUTkNxLDY,GottheitxWeltraum,UmtausxchWeinfass,Eindrxuck,Fachmaxnn,3YxWRx-#-,UCMxV&MH8,ApfelmusHaxndbuch,AuerhuxhnHauswand,Fahrxwerk,Festxland,"gsxy.,fUy",cXyNxffH#,BeispielHufxeisen,BierglaxsFahrplan,Flugxplan,Gasmxaske,[-z8xS*E+,fa.{DxqnA,ChefarxztDreizack,DezernxatWerkbank
12,pixelation_input2%12.393,pixelation_input2%15.935,pixelation_input2%7.794,pixelation_input2%5.77,pixelation_input2%6.363,pixelation_input2%12.114,plaintext_input2%8.816,plaintext_input2%6.034,plaintext_input2%8.63,plaintext_input2%6.987,plaintext_input2%7.64,plaintext_input2%7.016,blur_input2%8.384,blur_input2%5.148,blur_input2%4.762,blur_input2%4.206,blur_input2%14.528,blur_input2%9.572,asterisk_input2%37.561,asterisk_input2%4.905,asterisk_input2%4.35,asterisk_input2%3.663,asterisk_input2%5.599,asterisk_input2%8.141,crystallize_input2%11.718,crystallize_input2%6.205,crystallize_input2%4.725,crystallize_input2%5.323,crystallize_input2%7.477,crystallize_input2%5.292,colorhalftone_input2%4.536,colorhalftone_input2%4.999,colorhalftone_input2%5.13,colorhalftone_input2%5.294,colorhalftone_input2%9.264,colorhalftone_input2%6.075
13,pixelation_input2%7.648,pixelation_input2%4.476,pixelation_input2%14.508,pixelation_input2%3.438,pixelation_input2%3.431,pixelation_input2%3.275,plaintext_input2%4.907,plaintext_input2%3.498,plaintext_input2%17.342,plaintext_input2%3.415,plaintext_input2%2.875,plaintext_input2%3.456,blur_input2%9.669,blur_input2%3.831,blur_input2%4.11,blur_input2%4.161,blur_input2%7.774,blur_input2%8.205,asterisk_input2%4.035,asterisk_input2%4.982,asterisk_input2%4.757,asterisk_input2%5.656,asterisk_input2%7.672,asterisk_input2%7.698,crystallize_input2%3.363,crystallize_input2%8.074,crystallize_input2%2.238,crystallize_input2%3.975,crystallize_input2%4.992,crystallize_input2%4.226,colorhalftone_input2%2.652,colorhalftone_input2%3.056,colorhalftone_input2%3.937,colorhalftone_input2%4.142,colorhalftone_input2%5.846,colorhalftone_input2%5.723
14,plaintext_input2%8.687,plaintext_input2%7.868,plaintext_input2%15.188,plaintext_input2%3.287,plaintext_input2%8.871,plaintext_input2%8.987,asterisk_input2%8.77,asterisk_input2%7.603,asterisk_input2%10.353,asterisk_input2%10.087,asterisk_input2%13.07,asterisk_input2%12.386,pixelation_input2%9.085,pixelation_input2%7.283,pixelation_input2%12.535,pixelation_input2%8.003,pixelation_input2%8.488,pixelation_input2%10.422,colorhalftone_input2%7.319,colorhalftone_input2%5.287,colorhalftone_input2%8.487,colorhalftone_input2%9.27,colorhalftone_input2%9.902,colorhalftone_input2%9.218,blur_input2%8.152,blur_input2%6.306,blur_input2%10.156,blur_input2%7.986,blur_input2%10.021,blur_input2%7.37,crystallize_input2%9.421,crystallize_input2%7.636,crystallize_input2%9.469,crystallize_input2%11.689,crystallize_input2%7.952,crystallize_input2%7.703
15,plaintext_input2%5.513,plaintext_input2%6.428,plaintext_input2%8.317,plaintext_input2%7.379,plaintext_input2%5.352,plaintext_input2%8.555,asterisk_input2%5.662,asterisk_input2%8.516,asterisk_input2%3.774,asterisk_input2%5.529,asterisk_input2%8.623,asterisk_input2%8.331,pixelation_input2%5.101,pixelation_input2%3.99,pixelation_input2%3.504,pixelation_input2%4.268,pixelation_input2%6.895,pixelation_input2%6.398,colorhalftone_input2%6.998,colorhalftone_input2%2.409,colorhalftone_input2%3.794,colorhalftone_input2%3.483,colorhalftone_input2%3.116,colorhalftone_input2%5.622,blur_input2%5.153,blur_input2%5.354,blur_input2%7.242,blur_input2%5.293,blur_input2%5.35,blur_input2%5.141,crystallize_input2%2.967,crystallize_input2%2.296,crystallize_input2%2.612,crystallize_input2%2.567,crystallize_input2%5.879,crystallize_input2%7.081
16,plaintext_input2%5.745,plaintext_input2%6.235,plaintext_input2%8.864,plaintext_input2%10.242,plaintext_input2%12.072,plaintext_input2%10.43,asterisk_input2%11.438,asterisk_input2%10.042,asterisk_input2%13.437,asterisk_input2%9.523,asterisk_input2%11.268,asterisk_input2%7.843,pixelation_input2%15.807,pixelation_input2%5.103,pixelation_input2%9.559,pixelation_input2%5.427,pixelation_input2%3.672,pixelation_input2%9.075,colorhalftone_input2%6.124,colorhalftone_input2%3.899,colorhalftone_input2%4.632,colorhalftone_input2%4.367,colorhalftone_input2%14.173,colorhalftone_input2%5.799,blur_input2%3.71,blur_input2%9.88,blur_input2%4.62,blur_input2%7.26,blur_input2%6.567,blur_input2%5.796,crystallize_input2%7.01,crystallize_input2%7.598,crystallize_input2%6.092,crystallize_input2%7.397,crystallize_input2%7.447,crystallize_input2%11.337
17,asterisk_input2%17.514,asterisk_input2%16.217,asterisk_input2%11.627,asterisk_input2%5.611,asterisk_input2%8.46,asterisk_input2%8.166,colorhalftone_input2%3.884,colorhalftone_input2%7.532,colorhalftone_input2%3.195,colorhalftone_input2%15.005,colorhalftone_input2%12.87,colorhalftone_input2%12.945,plaintext_input2%4.016,plaintext_input2%3.125,plaintext_input2%4.099,plaintext_input2%6.092,plaintext_input2%6.269,plaintext_input2%3.468,crystallize_input2%3.8,crystallize_input2%7.312,crystallize_input2%5.451,crystallize_input2%2.281,crystallize_input2%3.615,crystallize_input2%2.488,pixelation_input2%2.831,pixelation_input2%17.292,pixelation_input2%8.903,pixelation_input2%5.961,pixelation_input2%7.474,pixelation_input2%8.533,blur_input2%3.465,blur_input2%13.015,blur_input2%8.151,blur_input2%3.92,blur_input2%20.791,blur_input2%18.709
18,asterisk_input2%11.14,asterisk_input2%10.204,asterisk_input2%18.69,asterisk_input2%16.021,asterisk_input2%10.771,asterisk_input2%22.364,colorhalftone_input2%10.569,colorhalftone_input2%14.071,colorhalftone_input2%11.865,colorhalftone_input2%21.418,colorhalftone_input2%15.638,colorhalftone_input2%10.976,plaintext_input2%9.337,plaintext_input2%5.934,plaintext_input2%8.657,plaintext_input2%24.867,plaintext_input2%4.649,plaintext_input2%8.543,crystallize_input2%10.606,crystallize_input2%6.725,crystallize_input2%7.792,crystallize_input2%12.963,crystallize_input2%9.739,crystallize_input2%12.646,pixelation_input2%7.852,pixelation_input2%10.378,pixelation_input2%10.155,pixelation_input2%9.912,pixelation_input2%5.848,pixelation_input2%7.703,blur_input2%20.391,blur_input2%9.185,blur_input2%11.603,blur_input2%8.12,blur_input2%12.157,blur_input2%15.305
19,asterisk_input2%14.733,asterisk_input2%6.271,asterisk_input2%4.555,asterisk_input2%4.435,asterisk_input2%4.303,asterisk_input2%8.868,colorhalftone_input2%4.517,colorhalftone_input2%2.919,colorhalftone_input2%4.384,colorhalftone_input2%4.953,colorhalftone_input2%6.096,colorhalftone_input2%5.837,plaintext_input2%3.255,plaintext_input2%8.449,plaintext_input2%4.843,plaintext_input2%3.907,plaintext_input2%3.636,plaintext_input2%4.831,crystallize_input2%6.31,crystallize_input2%3.469,crystallize_input2%7.438,crystallize_input2%7.753,crystallize_input2%5.123,crystallize_input2%3.584,pixelation_input2%11.404,pixelation_input2%32.657,pixelation_input2%10.734,pixelation_input2%69.038,pixelation_input2%44.272,pixelation_input2%34.037,blur_input2%16.671,blur_input2%35.105,blur_input2%8.241,blur_input2%34.356,blur_input2%5.151,blur_input2%8.2
20,colorhalftone_input2%6.294,colorhalftone_input2%6.693,colorhalftone_input2%4.417,colorhalftone_input2%4.49,colorhalftone_input2%6.807,colorhalftone_input2%7.511,crystallize_input2%4.062,crystallize_input2%5.404,crystallize_input2%13.533,crystallize_input2%4.605,crystallize_input2%5.917,crystallize_input2%6.887,asterisk_input2%8.78,asterisk_input2%8.814,asterisk_input2%10.541,asterisk_input2%9.287,asterisk_input2%10.384,asterisk_input2%4.118,blur_input2%17.363,blur_input2%6.392,blur_input2%6.7,blur_input2%9.364,blur_input2%7.629,blur_input2%5.999,plaintext_input2%3.356,plaintext_input2%3.476,plaintext_input2%2.558,plaintext_input2%3.967,plaintext_input2%2.486,plaintext_input2%4.52,pixelation_input2%9.731,pixelation_input2%5.71,pixelation_input2%5.198,pixelation_input2%5.67,pixelation_input2%5.214,pixelation_input2%4.749
21,crystallize_input2%5.095,crystallize_input2%4.047,crystallize_input2%5.885,crystallize_input2%5.002,crystallize_input2%7.25,crystallize_input2%4.534,blur_input2%5.606,blur_input2%4.692,blur_input2%14.629,blur_input2%5.095,blur_input2%7.873,blur_input2%4.312,colorhalftone_input2%5.763,colorhalftone_input2%4.889,colorhalftone_input2%6.526,colorhalftone_input2%5.143,colorhalftone_input2%5.377,colorhalftone_input2%7.991,pixelation_input2%5.424,pixelation_input2%5.47,pixelation_input2%4.105,pixelation_input2%6.006,pixelation_input2%4.744,pixelation_input2%4.66,asterisk_input2%6.076,asterisk_input2%6.807,asterisk_input2%5.811,asterisk_input2%8.222,asterisk_input2%7.804,asterisk_input2%13.907,plaintext_input2%2.933,plaintext_input2%3.1,plaintext_input2%5.164,plaintext_input2%4.072,plaintext_input2%3.616,plaintext_input2%4.298
22,blur_input2%6.569,blur_input2%6.319,blur_input2%18.704,blur_input2%38.721,blur_input2%11.303,blur_input2%11.991,pixelation_input2%5.062,pixelation_input2%5.102,pixelation_input2%41.938,pixelation_input2%5.553,pixelation_input2%5.352,pixelation_input2%3.906,crystallize_input2%4.069,crystallize_input2%3.072,crystallize_input2%4.8,crystallize_input2%9.236,crystallize_input2%5.403,crystallize_input2%3.786,plaintext_input2%3.772,plaintext_input2%4.653,plaintext_input2%5.497,plaintext_input2%3.753,plaintext_input2%3.7,plaintext_input2%4.356,colorhalftone_input2%5.053,colorhalftone_input2%4.018,colorhalftone_input2%3.12,colorhalftone_input2%6.704,colorhalftone_input2%5.119,colorhalftone_input2%5.486,asterisk_input2%6.703,asterisk_input2%5.536,asterisk_input2%4.937,asterisk_input2%5.285,asterisk_input2%8.22,asterisk_input2%12.004
23,pixelation_input2%19.983,pixelation_input2%5.33,pixelation_input2%8.176,pixelation_input2%4.198,pixelation_input2%8.784,pixelation_input2%4.788,plaintext_input2%6.963,plaintext_input2%6.957,plaintext_input2%5.245,plaintext_input2%5.411,plaintext_input2%4.58,plaintext_input2%4.054,blur_input2%5.431,blur_input2%7.222,blur_input2%12.166,blur_input2%6.834,blur_input2%6.82,blur_input2%8.813,asterisk_input2%8.458,asterisk_input2%5.741,asterisk_input2%5.418,asterisk_input2%4.554,asterisk_input2%18.005,asterisk_input2%26.348,crystallize_input2%7.8,crystallize_input2%5.892,crystallize_input2%5.745,crystallize_input2%3.418,crystallize_input2%3.639,crystallize_input2%7.641,colorhalftone_input2%6.0,colorhalftone_input2%5.017,colorhalftone_input2%6.444,colorhalftone_input2%4.022,colorhalftone_input2%4.924,colorhalftone_input2%4.822
24,plaintext_input2%5.362,plaintext_input2%7.658,plaintext_input2%11.401,plaintext_input2%6.299,plaintext_input2%5.212,plaintext_input2%9.527,asterisk_input2%5.743,asterisk_input2%5.9,asterisk_input2%8.398,asterisk_input2%4.824,asterisk_input2%14.183,asterisk_input2%9.821,pixelation_input2%4.754,pixelation_input2%7.049,pixelation_input2%5.491,pixelation_input2%9.83,pixelation_input2%5.343,pixelation_input2%4.856,colorhalftone_input2%4.309,colorhalftone_input2%2.451,colorhalftone_input2%3.708,colorhalftone_input2%5.936,colorhalftone_input2%5.414,colorhalftone_input2%4.714,blur_input2%8.637,blur_input2%10.274,blur_input2%7.34,blur_input2%3.423,blur_input2%5.917,blur_input2%8.126,crystallize_input2%5.624,crystallize_input2%6.01,crystallize_input2%3.804,crystallize_input2%4.335,crystallize_input2%7.443,crystallize_input2%5.924
25,asterisk_input2%11.644,asterisk_input2%9.947,asterisk_input2%8.943,asterisk_input2%4.854,asterisk_input2%9.811,asterisk_input2%10.361,colorhalftone_input2%9.807,colorhalftone_input2%7.413,colorhalftone_input2%14.455,colorhalftone_input2%11.738,colorhalftone_input2%16.193,colorhalftone_input2%9.494,plaintext_input2%8.605,plaintext_input2%3.975,plaintext_input2%5.307,plaintext_input2%4.778,plaintext_input2%3.72,plaintext_input2%4.66,crystallize_input2%10.657,crystallize_input2%5.638,crystallize_input2%4.142,crystallize_input2%11.63,crystallize_input2%6.237,crystallize_input2%5.743,pixelation_input2%7.778,pixelation_input2%10.346,pixelation_input2%6.293,pixelation_input2%5.642,pixelation_input2%5.959,pixelation_input2%7.446,blur_input2%8.043,blur_input2%7.928,blur_input2%12.605,blur_input2%6.926,blur_input2%12.409,blur_input2%8.105
26,blur_input2%7.748,blur_input2%7.593,blur_input2%8.519,blur_input2%4.254,blur_input2%13.519,blur_input2%7.201,pixelation_input2%3.489,pixelation_input2%5.242,pixelation_input2%5.996,pixelation_input2%13.588,pixelation_input2%2.574,pixelation_input2%3.669,crystallize_input2%4.937,crystallize_input2%2.27,crystallize_input2%1.927,crystallize_input2%6.336,crystallize_input2%5.08,crystallize_input2%2.844,plaintext_input2%3.206,plaintext_input2%3.767,plaintext_input2%3.548,plaintext_input2%3.179,plaintext_input2%2.208,plaintext_input2%4.284,colorhalftone_input2%4.286,colorhalftone_input2%5.89,colorhalftone_input2%5.933,colorhalftone_input2%5.024,colorhalftone_input2%4.241,colorhalftone_input2%4.86,asterisk_input2%3.77,asterisk_input2%4.614,asterisk_input2%3.842,asterisk_input2%7.398,asterisk_input2%6.747,asterisk_input2%10.143
